11,Challenge,Score,Notes
07-17-2020,Wide Wall 6Targets,71.5,
07-17-2020,Wide Wall 6Targets,80.7,
07-18-2020,Wide Wall 6Targets,62.1,
07-18-2020,Wide Wall 6Targets,73.1,
07-19-2020,Wide Wall 6Targets,76.5,
07-19-2020,Wide Wall 6Targets,82.8,
07-20-2020,Wide Wall 6Targets,72.5,
07-20-2020,Wide Wall 6Targets,88.3,
07-21-2020,Wide Wall 6Targets,70.8,
07-21-2020,Wide Wall 6Targets,86.5,
07-22-2020,Wide Wall 6Targets,79.4,
07-22-2020,Wide Wall 6Targets,74.7,
07-31-2020,Wide Wall 6Targets,73.5,
07-31-2020,Wide Wall 6Targets,81.7,
08-01-2020,Wide Wall 6Targets,71.5,
08-01-2020,Wide Wall 6Targets,79,
08-02-2020,Wide Wall 6Targets,73.5,
08-02-2020,Wide Wall 6Targets,81,
08-03-2020,Wide Wall 6Targets,76.5,
08-03-2020,Wide Wall 6Targets,78,
08-04-2020,Wide Wall 6Targets,86.2,
08-04-2020,Wide Wall 6Targets,76.5,
08-05-2020,Wide Wall 6Targets,71.3,
08-05-2020,Wide Wall 6Targets,82,
08-06-2020,Wide Wall 6Targets,88.8,
08-06-2020,Wide Wall 6Targets,85.6,
08-08-2020,Wide Wall 6Targets,77,
08-09-2020,Wide Wall 6Targets,66.2,
08-09-2020,Wide Wall 6Targets,69.9,
08-10-2020,Wide Wall 6Targets,68.8,
08-10-2020,Wide Wall 6Targets,75.7,
08-13-2020,Wide Wall 6Targets,83.4,
08-13-2020,Wide Wall 6Targets,83.3,
08-14-2020,Wide Wall 6Targets,88.4,
08-15-2020,Wide Wall 6Targets,87.4,
08-15-2020,Wide Wall 6Targets,81.4,
08-16-2020,Wide Wall 6Targets,77.7,
08-21-2020,Wide Wall 6Targets,72,
08-21-2020,Wide Wall 6Targets,82.7,
08-24-2020,Wide Wall 6Targets,83.5,
08-24-2020,Wide Wall 6Targets,85.3,
08-26-2020,Wide Wall 6Targets,76.2,
08-01-2020,Vertical Long Strafes,9630,
08-01-2020,Vertical Long Strafes,9378,
08-01-2020,Vertical Long Strafes,9234,
08-09-2020,Vertical Long Strafes,11430,
08-09-2020,Vertical Long Strafes,11880,
08-09-2020,Vertical Long Strafes,9486,
08-22-2020,Vertical Long Strafes,11394,
08-22-2020,Vertical Long Strafes,9972,
08-22-2020,Vertical Long Strafes,10188,
08-29-2020,Vertical Long Strafes,10368,
08-29-2020,Vertical Long Strafes,10566,
08-29-2020,Vertical Long Strafes,10500,
09-03-2020,Vertical Long Strafes,10782,
09-03-2020,Vertical Long Strafes,9810,
09-03-2020,Vertical Long Strafes,11628,
08-08-2020,Vertical Hand Warmup,932.4,
08-14-2020,Vertical Hand Warmup,1026.7,
08-16-2020,Vertical Hand Warmup,1135.4,
08-26-2020,Vertical Hand Warmup,627.3,
08-08-2020,Vertical Fast Strafes Hard,3690,
08-08-2020,Vertical Fast Strafes Hard,3312,
08-08-2020,Vertical Fast Strafes Hard,4572,
07-17-2020,Tile Frenzy Strafing - 01,78.2,
07-17-2020,Tile Frenzy Strafing - 01,60.5,
07-17-2020,Tile Frenzy Strafing - 01,66,
07-17-2020,Tile Frenzy Strafing - 01,73.5,
07-23-2020,Tile Frenzy Strafing - 01,68.8,
07-23-2020,Tile Frenzy Strafing - 01,67.6,
07-23-2020,Tile Frenzy Strafing - 01,71,
07-23-2020,Tile Frenzy Strafing - 01,67.5,
07-31-2020,Tile Frenzy Strafing - 01,64.2,
07-31-2020,Tile Frenzy Strafing - 01,64.4,
07-31-2020,Tile Frenzy Strafing - 01,71.8,
07-31-2020,Tile Frenzy Strafing - 01,82,
08-09-2020,Tile Frenzy Strafing - 01,64.7,
08-09-2020,Tile Frenzy Strafing - 01,70.8,
08-09-2020,Tile Frenzy Strafing - 01,56.1,
08-09-2020,Tile Frenzy Strafing - 01,75.1,
08-23-2020,Tile Frenzy Strafing - 01,70.8,
08-23-2020,Tile Frenzy Strafing - 01,69.3,
08-23-2020,Tile Frenzy Strafing - 01,64.3,
08-23-2020,Tile Frenzy Strafing - 01,62.5,
08-28-2020,Tile Frenzy Strafing - 01,71,
08-28-2020,Tile Frenzy Strafing - 01,58.3,
08-28-2020,Tile Frenzy Strafing - 01,74.1,
08-28-2020,Tile Frenzy Strafing - 01,69.6,
09-02-2020,Tile Frenzy Strafing - 01,58.1,
09-02-2020,Tile Frenzy Strafing - 01,66.4,
09-02-2020,Tile Frenzy Strafing - 01,63.9,
09-02-2020,Tile Frenzy Strafing - 01,60.5,
07-17-2020,Tile Frenzy Mini,78.8,
07-17-2020,Tile Frenzy Mini,83.3,
07-17-2020,Tile Frenzy Mini,84,
07-17-2020,Tile Frenzy Mini,82.5,
07-23-2020,Tile Frenzy Mini,81.1,
07-23-2020,Tile Frenzy Mini,88.5,
07-23-2020,Tile Frenzy Mini,84,
07-23-2020,Tile Frenzy Mini,85.2,
07-31-2020,Tile Frenzy Mini,99.3,
07-31-2020,Tile Frenzy Mini,88.3,
07-31-2020,Tile Frenzy Mini,94.7,
07-31-2020,Tile Frenzy Mini,78.9,
08-09-2020,Tile Frenzy Mini,78.6,
08-09-2020,Tile Frenzy Mini,67.9,
08-09-2020,Tile Frenzy Mini,71.4,
08-09-2020,Tile Frenzy Mini,88.8,
08-23-2020,Tile Frenzy Mini,81.4,
08-23-2020,Tile Frenzy Mini,86.3,
08-23-2020,Tile Frenzy Mini,91.9,
08-23-2020,Tile Frenzy Mini,86.5,
08-28-2020,Tile Frenzy Mini,80.2,
08-28-2020,Tile Frenzy Mini,76.2,
08-28-2020,Tile Frenzy Mini,91.7,
08-28-2020,Tile Frenzy Mini,94.1,
09-02-2020,Tile Frenzy Mini,85.4,
09-02-2020,Tile Frenzy Mini,94.7,
09-02-2020,Tile Frenzy Mini,93.1,
09-02-2020,Tile Frenzy Mini,88.9,
07-19-2020,Tile Frenzy Flick,1608,
07-19-2020,Tile Frenzy Flick,1710,
07-19-2020,Tile Frenzy Flick,1656,
07-22-2020,Tile Frenzy Flick,1872,
07-22-2020,Tile Frenzy Flick,1686,
07-22-2020,Tile Frenzy Flick,1854,
08-04-2020,Tile Frenzy Flick,1620,
08-04-2020,Tile Frenzy Flick,1800,
08-04-2020,Tile Frenzy Flick,1842,
08-08-2020,Tile Frenzy Flick,1620,
08-08-2020,Tile Frenzy Flick,1878,
08-08-2020,Tile Frenzy Flick,1896,
08-14-2020,Tile Frenzy Flick,1932,
08-14-2020,Tile Frenzy Flick,1872,
08-25-2020,Tile Frenzy Flick,1860,
08-25-2020,Tile Frenzy Flick,1992,
08-25-2020,Tile Frenzy Flick,1920,
09-01-2020,Tile Frenzy Flick,1938,
09-01-2020,Tile Frenzy Flick,1872,
09-01-2020,Tile Frenzy Flick,1890,
09-13-2020,Tile Frenzy Flick,1830,
09-13-2020,Tile Frenzy Flick,1824,
09-13-2020,Tile Frenzy Flick,1932,
09-17-2020,Tile Frenzy Flick,1938,
09-17-2020,Tile Frenzy Flick,1950,
09-17-2020,Tile Frenzy Flick,1986,
08-16-2020,Tile Frenzy 180 Strafing,95.7,
08-16-2020,Tile Frenzy 180 Strafing,98.4,
07-18-2020,Tile Frenzy 180,98.5,
07-18-2020,Tile Frenzy 180,99.4,
07-18-2020,Tile Frenzy 180,105,
07-20-2020,Tile Frenzy 180,97.8,
07-20-2020,Tile Frenzy 180,117.5,
07-20-2020,Tile Frenzy 180,101.7,
08-02-2020,Tile Frenzy 180,108.9,
08-02-2020,Tile Frenzy 180,109.8,
08-02-2020,Tile Frenzy 180,102.7,
08-05-2020,Tile Frenzy 180,114.4,
08-05-2020,Tile Frenzy 180,125.3,
08-05-2020,Tile Frenzy 180,99.9,
08-10-2020,Tile Frenzy 180,96.4,
08-10-2020,Tile Frenzy 180,117,
08-10-2020,Tile Frenzy 180,116,
08-21-2020,Tile Frenzy 180,109.4,
08-21-2020,Tile Frenzy 180,129.4,
08-21-2020,Tile Frenzy 180,109,
08-26-2020,Tile Frenzy 180,108.2,
08-26-2020,Tile Frenzy 180,98.3,
08-26-2020,Tile Frenzy 180,118.6,
08-30-2020,Tile Frenzy 180,114.4,
08-30-2020,Tile Frenzy 180,103.9,
08-30-2020,Tile Frenzy 180,120.7,
09-08-2020,Tile Frenzy 180,102.6,
09-08-2020,Tile Frenzy 180,115.6,
09-08-2020,Tile Frenzy 180,117.2,
09-15-2020,Tile Frenzy 180,109.6,
09-15-2020,Tile Frenzy 180,113.6,
09-15-2020,Tile Frenzy 180,112.4,
07-18-2020,Tile Frenzy - Strafing - 03,49,
07-18-2020,Tile Frenzy - Strafing - 03,58.6,
07-18-2020,Tile Frenzy - Strafing - 03,65.6,
07-20-2020,Tile Frenzy - Strafing - 03,52.8,
07-20-2020,Tile Frenzy - Strafing - 03,59,
07-20-2020,Tile Frenzy - Strafing - 03,70.9,
08-02-2020,Tile Frenzy - Strafing - 03,57.6,
08-02-2020,Tile Frenzy - Strafing - 03,56.3,
08-02-2020,Tile Frenzy - Strafing - 03,61.8,
08-05-2020,Tile Frenzy - Strafing - 03,51.4,
08-05-2020,Tile Frenzy - Strafing - 03,55.1,
08-05-2020,Tile Frenzy - Strafing - 03,52.3,
08-10-2020,Tile Frenzy - Strafing - 03,60.2,
08-10-2020,Tile Frenzy - Strafing - 03,67.5,
08-10-2020,Tile Frenzy - Strafing - 03,64.7,
08-21-2020,Tile Frenzy - Strafing - 03,54.1,
08-21-2020,Tile Frenzy - Strafing - 03,62.5,
